"","num_critic_for_reviews","duration","gross","cast_total_facebook_likes","num_user_for_reviews","country","budget"
"1",516,147,407197282,64798,1022,"USA",2.5e+08
"2",579,108,363024263,18239,1058,"USA",5.8e+07
"3",370,106,362645141,32921,398,"UK",1.75e+08
"4",673,183,330249062,24450,3018,"USA",2.5e+08
"5",165,87,323505540,4782,155,"Japan",7.5e+07
"6",418,123,161087183,11287,971,"USA",1.75e+08
"7",396,144,154985087,49684,622,"USA",1.78e+08
"8",210,95,143523463,36095,145,"USA",1.45e+08
"9",322,122,130468626,1327,432,"USA",1.85e+08
"10",177,107,126088877,14569,110,"USA",5e+07
"11",248,110,124051759,21175,239,"USA",1.8e+08
"12",464,116,118099659,2097,1211,"USA",1.44e+08
"13",267,123,108521835,13752,297,"UK",1.2e+08
"14",141,97,107225164,24350,126,"USA",7.3e+07
"15",286,120,102315545,3233,520,"USA",1.65e+08
"16",300,134,102310175,2676,279,"USA",4e+07
"17",119,102,90835030,5178,58,"USA",4e+07
"18",181,112,81638674,8306,115,"USA",1.35e+08
"19",165,109,78845130,2480,94,"France",1e+07
"20",218,113,76846624,80806,131,"USA",1.7e+08
"21",411,104,71897215,14504,440,"USA",1.5e+07
"22",181,120,66002193,12452,144,"USA",1.1e+08
"23",196,129,64685359,23031,139,"USA",9e+07
"24",154,99,63034755,23562,96,"USA",2.9e+07
"25",225,99,62401264,20276,323,"UK",6e+07
"26",63,109,61693523,7833,55,"USA",1.3e+07
"27",156,94,59573085,2259,103,"USA",1.8e+07
"28",159,81,56536016,3344,95,"USA",4900000
"29",151,110,56154094,21852,130,"UK",2e+07
"30",81,100,55461307,18786,46,"USA",2e+07
"31",177,92,55291815,17860,111,"USA",3.5e+07
"32",186,86,54257433,971,139,"USA",1.7e+07
"33",204,144,52822418,3580,219,"USA",5e+07
"34",252,117,52792307,1950,106,"UK",1.4e+08
"35",231,120,47952020,46719,134,"USA",1.15e+08
"36",275,123,46978995,5505,781,"USA",1.6e+08
"37",148,110,46813366,4882,83,"USA",3.8e+07
"38",268,98,41008532,10894,103,"USA",2.7e+07
"39",122,107,36874745,389,117,"USA",2e+07
"40",159,97,35794166,4687,155,"USA",1e+07
"41",158,109,35537564,24063,166,"USA",11500000
"42",194,112,34912982,19974,266,"USA",3.8e+07
"43",184,126,31141074,19769,273,"USA",1.4e+08
"44",423,106,29997095,38494,302,"UK",2.2e+07
"45",86,96,28876924,1780,35,"USA",2e+07
"46",226,102,28837115,24107,150,"USA",5e+07
"48",185,93,26583369,578,127,"USA",1e+07
"49",29,120,20773070,1810,102,"USA",5e+06
"50",129,100,20566327,2958,84,"USA",1.5e+07
"51",79,139,20389967,12786,47,"USA",5e+07
"53",216,106,15785632,21195,119,"UK",2.3e+07
"54",72,127,14946229,2104,29,"UK",2.5e+07
"55",130,113,14268533,10910,100,"UK",31500000
"56",214,115,12626905,27214,106,"USA",2e+07
"57",59,92,11675178,2848,53,"USA",5e+06
"58",225,108,10907291,4710,134,"USA",2.8e+07
"59",12,96,9658370,3552,9,"USA",5e+06
"60",24,111,6462576,824,30,"USA",18500000
"61",263,112,3707794,5671,156,"Greece",1.8e+07
"63",5,101,3105269,1335,8,"Mexico",3e+06
"64",123,98,1512815,21414,56,"USA",2.5e+07
"65",253,118,1330827,19879,73,"France",7e+06
"68",9,105,123777,1043,15,"Canada",3500000
"69",2,115,31662,14133,1,"South Korea",12620000
"101",644,124,652177271,8458,1290,"USA",1.5e+08
"102",635,141,458991599,92000,1117,"USA",2.5e+08
"103",536,95,356454367,2944,773,"USA",1.75e+08
"104",424,140,350034110,79150,657,"USA",1.9e+08
"105",308,91,336029560,13616,275,"USA",7.4e+07
"106",389,137,281666058,81385,383,"USA",1.6e+08
"107",568,151,228430993,14831,1023,"USA",1.08e+08
"108",343,105,201148159,4671,322,"USA",9.5e+07
"109",343,105,201148159,4671,323,"USA",9.5e+07
"110",602,148,200074175,11700,994,"UK",2.45e+08
"111",465,131,195000874,21840,440,"China",1.5e+08
"112",556,156,183635922,57108,1188,"USA",1.35e+08
"113",221,115,183436380,13159,185,"USA",2.9e+07
"114",517,117,180191634,5730,549,"USA",1.3e+08
"115",165,94,177343675,17883,214,"USA",1.35e+08
"116",152,89,169692572,26839,97,"USA",8e+07
"117",362,129,166147885,4585,1360,"USA",4e+07
"118",147,92,162495848,5217,133,"USA",7.4e+07
"119",349,167,161029270,2702,331,"USA",2.8e+07
"120",358,114,155181732,16718,499,"USA",1.1e+08
"121",739,120,153629485,40025,1588,"Australia",1.5e+08
"122",145,96,150315155,10886,130,"USA",5e+07
"123",208,88,130174897,309,155,"USA",9.9e+07
"124",263,119,129995817,22622,258,"USA",1.1e+08
"126",332,129,110008260,1450,309,"Japan",3.5e+07
"127",437,133,109712885,15106,362,"USA",3.5e+07
"128",443,130,93417865,5046,497,"USA",1.9e+08
"129",173,107,90353764,12556,144,"USA",4e+07
"130",474,126,89732035,38873,867,"USA",1.55e+08
"131",70,92,85884815,38450,53,"USA",9e+07
"132",249,132,81687587,2517,360,"USA",6.1e+07
"133",280,125,81257500,30010,229,"USA",6.8e+07
"134",218,103,80021740,5497,154,"USA",5.8e+07
"135",253,106,78747585,35367,342,"USA",8.8e+07
"136",241,121,75274748,36010,304,"USA",3.5e+07
"137",459,142,72306065,16944,355,"USA",4e+07
"138",76,94,71038190,3552,123,"USA",3e+07
"139",426,130,70235322,57308,374,"USA",2.8e+07
"140",222,115,66009973,38963,135,"USA",14800000
"141",371,94,65069140,1010,455,"USA",5e+06
"142",391,123,62563543,63769,289,"USA",5.3e+07
"143",204,99,58879132,40312,219,"USA",3.1e+07
"144",315,124,56443482,75793,256,"USA",6e+07
"145",369,100,56114221,1261,695,"USA",1.2e+08
"146",596,187,54116191,49912,1018,"USA",4.4e+07
"147",279,105,53846915,11943,221,"USA",50100000
"148",305,124,52418902,16881,277,"USA",3e+07
"149",242,97,52200504,2426,183,"Canada",1e+07
"150",384,127,47375327,47334,720,"USA",1.76e+08
"151",478,121,46875468,1467,461,"USA",3e+07
"152",362,116,45434443,15735,360,"USA",7.5e+07
"153",474,128,44988180,1058,409,"USA",2e+07
"154",113,129,44469602,952,83,"USA",1.7e+07
"155",297,108,43771291,3215,279,"USA",5e+06
"156",361,121,43247140,2131,265,"UK",5.5e+07
"157",61,111,42652003,2851,87,"USA",2e+07
"158",198,98,42592530,4567,181,"USA",1.5e+07
"159",214,112,42478175,15327,209,"USA",2.5e+07
"160",351,111,38317535,995,212,"UK",1.1e+07
"161",117,128,37432299,3386,116,"USA",3.4e+07
"162",149,91,35385560,4807,131,"USA",4e+06
"163",256,111,34964818,21393,186,"USA",1.5e+08
"164",256,111,34964818,21404,186,"USA",1.5e+08
"165",219,123,34531832,13371,138,"UK",3.5e+07
"166",155,87,34507079,1679,118,"USA",3.5e+07
"167",132,101,34017854,36892,116,"USA",8500000
"168",203,109,33305037,17866,147,"UK",1.1e+07
"169",158,122,33071558,583,100,"UK",1e+07
"170",191,109,31990064,2753,160,"USA",1.2e+07
"171",371,120,31569268,23051,627,"USA",4.9e+07
"172",163,114,28772222,3962,163,"USA",1.05e+08
"173",189,97,27736779,2403,126,"USA",1e+07
"174",202,106,27356090,16922,117,"USA",9e+07
"175",203,103,27285953,259,214,"USA",5e+06
"176",236,114,26442251,16992,205,"USA",5e+07
"177",97,107,26284475,10691,68,"USA",1.7e+07
"178",152,83,25799043,11771,126,"USA",3300000
"179",489,108,25440971,430,611,"UK",1.5e+07
"180",425,92,25138292,1122,452,"USA",3500000
"181",289,122,24985612,28328,161,"USA",1e+08
"182",159,81,22757819,276,150,"USA",1e+05
"183",177,106,22331028,1819,177,"USA",1.2e+07
"184",138,105,20991497,44037,172,"USA",3.7e+07
"185",412,122,17750583,28933,307,"UK",3e+07
"186",180,103,17474107,1342,89,"USA",7e+06
"187",148,96,16027866,1411,121,"France",2.5e+07
"188",421,118,14677654,2499,351,"Ireland",1.3e+07
"189",175,101,13650738,16926,129,"USA",2e+07
"190",11,120,12985267,6752,63,"USA",2300000
"191",107,99,12282677,4702,96,"USA",1.4e+07
"192",178,117,12276810,17847,126,"USA",2.6e+07
"193",120,127,12188642,2230,56,"Chile",2.6e+07
"194",224,115,10640645,1686,110,"USA",4e+07
"195",90,91,10214013,1564,89,"USA",3.5e+07
"196",335,123,10137502,23031,195,"USA",3.5e+07
"197",181,107,7605668,42683,188,"UK",6e+07
"198",261,133,7097125,28129,207,"USA",7e+07
"199",125,107,6998324,3944,50,"USA",2.8e+07
"200",44,159,6498000,554,410,"India",18026148
"201",45,106,6420319,5705,122,"Mexico",2e+07
"202",159,110,5773519,12876,91,"USA",4e+07
"203",139,106,5348317,18712,100,"USA",1e+07
"204",12,121,4700361,6617,29,"USA",5e+06
"205",158,96,3590010,3013,60,"UK",2e+06
"206",328,90,3442820,1442,140,"USA",8e+06
"207",322,95,3219029,1836,125,"USA",5e+06
"208",39,97,2557668,2739,22,"USA",2e+06
"209",27,118,2246000,3384,20,"USA",2e+07
"210",78,105,2126511,615,45,"Hong Kong",3.6e+07
"211",260,132,1865774,27659,174,"UK",3e+07
"212",93,91,1712111,7875,53,"USA",8495000
"213",168,102,1477002,11184,72,"USA",2e+06
"214",119,108,1339152,30230,64,"France",81200000
"215",172,137,1206135,27666,185,"Czech Republic",5e+07
"216",205,105,613556,1172,87,"Taiwan",1.5e+07
"217",133,103,532988,9660,25,"USA",7e+06
"218",131,122,531009,22319,61,"USA",1e+07
"219",10,89,444044,4249,19,"USA",1900000
"220",111,112,375723,76,26,"Brazil",4e+06
"222",74,129,186354,26176,30,"USA",13500000
"223",256,95,131175,1885,200,"USA",8500000
"224",14,98,105943,2628,11,"USA",1500000
"225",68,103,72413,58,86,"China",6.5e+07
"226",36,97,62480,928,7,"USA",1e+06
"228",23,84,34151,3,3,"Israel",450000
"229",6,100,29233,24,2,"USA",3500000
"230",1,111,14616,2059,10,"USA",1.2e+07
"231",5,72,4914,0,2,"USA",150000
"232",4,125,3330,214,1,"USA",2100000
"315",490,133,350123553,16277,916,"USA",58800000
"316",403,123,337103873,81385,591,"USA",1.25e+08
"317",653,121,333130696,32438,1097,"USA",1.7e+08
"318",576,136,259746958,36188,742,"USA",1.7e+08
"319",435,100,257756197,22128,471,"Australia",6e+07
"320",422,164,255108370,9152,802,"New Zealand",2.5e+08
"321",378,165,245428137,3988,918,"USA",2.1e+08
"322",401,97,241407328,15516,634,"USA",1.8e+08
"323",539,149,233914986,91434,752,"USA",2e+08
"324",384,102,222487711,2963,433,"USA",1.65e+08
"325",521,130,208543795,14363,620,"USA",1.7e+08
"326",495,142,202853933,28631,1067,"USA",2e+08
"327",330,112,191616238,19428,322,"USA",5e+07
"328",348,101,190871240,2690,491,"USA",1.25e+08
"329",712,169,187991439,31488,2725,"USA",1.65e+08
"330",292,102,176997107,23378,343,"USA",1.45e+08
"331",568,149,167735396,4348,1127,"USA",6.1e+07
"332",459,139,150832203,22226,713,"USA",8.5e+07
"333",351,97,150056505,2771,397,"USA",1.8e+07
"334",146,99,134141530,2394,109,"USA",2.5e+07
"335",159,101,131536019,1031,99,"USA",1.03e+08
"336",321,125,127997349,62837,779,"USA",5e+07
"337",433,89,126546825,32325,918,"France",4e+07
"338",326,133,124868837,10565,548,"USA",1.2e+07
"339",322,137,115603980,2938,351,"USA",6.5e+07
"340",154,98,113733726,53587,126,"USA",1.27e+08
"341",196,92,111505642,5810,130,"USA",1.45e+08
"342",366,102,106369117,10583,523,"USA",1.1e+08
"343",297,113,102413606,1783,524,"USA",3.4e+07
"344",292,132,101530738,37605,436,"USA",5.5e+07
"345",434,138,101160529,32355,1240,"USA",1.25e+08
"346",585,113,100189501,12652,741,"USA",1.78e+08
"347",82,99,91443253,663,153,"USA",1.2e+07
"348",359,106,91439400,16967,384,"UK",5e+07
