"num_critic_for_reviews","duration","director_facebook_likes","gross","cast_total_facebook_likes","facenumber_in_poster","num_user_for_reviews","budget","imdb_score","movie_facebook_likes"
723,178,0,760505847,4834,0,3054,2.37e+08,7.9,33000
302,169,563,309404152,48350,0,1238,3e+08,7.1,0
602,148,0,200074175,11700,1,994,2.45e+08,6.8,85000
813,164,22000,448130642,106759,0,2701,2.5e+08,8.5,164000
462,132,475,73058679,1873,1,738,263700000,6.6,24000
392,156,0,336530303,46055,0,1902,2.58e+08,6.2,0
324,100,15,200807262,2036,1,387,2.6e+08,7.8,29000
635,141,0,458991599,92000,4,1117,2.5e+08,7.5,118000
375,153,282,301956980,58753,3,973,2.5e+08,7.5,10000
673,183,0,330249062,24450,0,3018,2.5e+08,6.9,197000
434,169,0,200069408,29991,0,2367,2.09e+08,6.1,0
403,106,395,168368427,2023,1,1243,2e+08,6.7,0
313,151,563,423032628,48486,2,1832,2.25e+08,7.3,5000
450,150,563,89289910,45757,1,711,2.15e+08,6.5,48000
733,143,0,291021565,20495,0,2536,2.25e+08,7.2,118000
258,150,80,141614023,22697,4,438,2.25e+08,6.6,0
703,173,0,623279547,87697,3,1722,2.2e+08,8.1,123000
448,136,252,241063875,54083,4,484,2.5e+08,6.7,58000
451,106,188,179020854,12572,1,341,2.25e+08,6.8,40000
422,164,0,255108370,9152,0,802,2.5e+08,7.5,65000
599,153,464,262030663,28489,0,1225,2.3e+08,7,56000
343,156,0,105219735,3244,0,546,2e+08,6.7,17000
509,186,0,258355354,9152,6,951,2.25e+08,7.9,83000
251,113,129,70083519,24106,2,666,1.8e+08,6.1,0
446,201,0,218051260,7123,0,2618,2.07e+08,7.2,0
516,147,94,407197282,64798,0,1022,2.5e+08,8.2,72000
377,131,532,65173160,26679,0,751,2.09e+08,5.9,44000
644,124,365,652177271,8458,0,1290,1.5e+08,7,150000
750,143,0,304360277,2039,0,1498,2e+08,7.8,80000
300,135,0,373377893,43388,1,1303,2e+08,7.3,0
608,195,1000,408992272,30426,3,1187,2e+08,7.2,95000
451,108,13000,334185206,79957,0,736,2e+08,6.5,24000
334,104,420,234360014,21714,0,1912,2.1e+08,6.8,0
376,104,37,268488329,14863,0,265,2e+08,7.3,44000
366,150,0,402076689,3218,0,1439,2e+08,6,0
378,165,0,245428137,3988,2,918,2.1e+08,5.7,56000
525,130,0,234903076,73441,4,511,2.15e+08,6.4,60000
495,142,464,202853933,28631,0,1067,2e+08,6.7,41000
469,125,364,172051787,25550,0,665,1.7e+08,6.8,30000
304,106,487,191450875,4482,0,283,2e+08,6.3,10000
436,123,258,116593191,17657,2,550,2e+08,5.6,24000
453,103,125,414984497,19085,3,733,2e+08,8.3,30000
422,118,368,125320003,27468,0,974,2e+08,6.6,0
424,140,0,350034110,79150,0,657,1.9e+08,7.2,94000
654,123,395,202351611,32392,0,995,1.9e+08,7,129000
539,149,0,233914986,91434,7,752,2e+08,8,82000
590,132,14000,228756232,21411,0,1171,1.9e+08,7.8,92000
338,114,0,65171860,1766,1,205,1.95e+08,6.3,22000
490,143,1000,144812796,29770,4,753,1.05e+08,7.3,115000
306,116,179,90755643,16149,2,453,2e+08,6.6,23000
575,131,0,101785482,19166,0,1106,1.9e+08,7,83000
428,154,0,352358779,2593,2,899,1.95e+08,6.3,46000
470,122,14000,317011114,14959,2,2054,1.85e+08,6.2,5000
298,93,113,123070338,696,0,345,1.2e+07,6.8,20000
488,93,56,237282182,5005,0,428,1.85e+08,7.2,39000
322,122,681,130468626,1327,4,432,1.85e+08,7.5,30000
421,98,475,223806889,2975,0,1043,1.8e+08,8.4,16000
162,91,420,140080850,1125,2,221,1.4e+08,6.2,0
367,158,776,166112167,2144,0,1055,2e+08,5.8,13000
240,96,0,137850096,48878,0,249,2e+08,6.8,0
384,127,0,47375327,47334,1,720,1.76e+08,5.4,44000
248,110,282,124051759,21175,2,239,1.8e+08,6.6,29000
284,150,80,291709845,1317,5,1463,1.8e+08,6.9,0
396,144,0,154985087,49684,6,622,1.78e+08,7.3,54000
645,152,22000,533316061,57802,0,4667,1.85e+08,9,37000
408,96,0,292979556,2635,1,704,1.75e+08,8.3,27000
219,94,11,198332128,2579,2,187,1.75e+08,6.5,0
486,126,4000,318298180,39252,3,1055,1.4e+08,7.9,10000
682,126,17000,73820094,36017,0,678,1.7e+08,7.5,42000
264,112,357,102176165,9131,2,501,1.45e+08,5.2,0
418,123,452,161087183,11287,8,971,1.75e+08,6.9,80000
186,96,293,100289690,108016,0,257,1.75e+08,5.4,2000
585,113,218,100189501,12652,1,741,1.78e+08,7.9,77000
